line_number,timestamp,stream_id,src_ip,dst_ip,rogue_origin,data_object,switchgear
270915,2026-02-15T14:22:56.195705,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270917,2026-02-15T14:22:57.134892,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270930,2026-02-15T14:22:58.738438,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
270930,2026-02-15T14:22:58.738438,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270959,2026-02-15T14:23:14.276280,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
270961,2026-02-15T14:23:14.509117,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
271500,2026-02-15T14:27:09.372988,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch
271503,2026-02-15T14:27:10.976533,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
271503,2026-02-15T14:27:10.976533,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch
271574,2026-02-15T14:27:43.993681,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch
271579,2026-02-15T14:27:44.911834,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch
271582,2026-02-15T14:27:46.516086,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
271582,2026-02-15T14:27:46.516086,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch
283465,2026-02-15T15:55:24.125892,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
283465,2026-02-15T15:55:24.125892,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
283569,2026-02-15T15:56:11.040755,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
