event_source,line_number,timestamp,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,report_seq_num,report_origins,report_ctl_nums,report_control_refs,report_boolean_values,protocol_tag,protocol_reasons,stat_reasons,protocol_score,stat_score,anomaly_score,final_tag,suppressed,summary
packet,105998,2026-02-14T15:54:12.840244,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,216,IEDEXPLORER,8,E03A103_CTRL/Q0CSWI1$ST$Pos;E03A103_CTRL/Q1CILO1$ST$EnaCls;E03A103_CTRL/Q2CILO1$ST$EnaCls,false;true;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106177,2026-02-14T15:55:40.164557,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,217,IEDEXPLORER,8,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,interarrival_outlier,80.00,7.41,87.41,likely-attack,0,Unconfirmed <RPT>
packet,106179,2026-02-14T15:55:40.390985,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,219,IEDEXPLORER,12,E03A103_CTRL/Q0CSWI1$ST$Pos,false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106321,2026-02-14T15:56:48.176338,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,220,IEDEXPLORER,12,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106364,2026-02-14T15:57:05.897028,RESPONSE,UNCONFIRMED,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,,,,,,,SAT200: 10.0.19.39 Origin:128,141,,,failed-control,last_appl_error,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,106440,2026-02-14T15:57:38.416582,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,222,SAT200: 10.0.19.39 Origin:128,135,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,106474,2026-02-14T15:57:52.622145,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,226,SAT200: 10.0.19.39 Origin:128,140,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,106517,2026-02-14T15:58:06.567330,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,70,SAT200: 10.0.19.39 Origin:128,139,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,106550,2026-02-14T15:58:17.690984,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,74,SAT200: 10.0.19.39 Origin:128,138,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,106622,2026-02-14T15:58:49.371309,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,229,SAT200: 10.0.19.39 Origin:128,142,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,106625,2026-02-14T15:58:50.420495,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,231,IEDEXPLORER,14,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106628,2026-02-14T15:58:51.903478,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,232,IEDEXPLORER,14,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos;E03A103_CTRL/Q8CILO1$ST$EnaCls,true;false;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106766,2026-02-14T15:59:52.947114,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,233,IEDEXPLORER,14,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,106771,2026-02-14T15:59:53.877613,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,235,IEDEXPLORER,15,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
